negation_prompt,control_prompt,expected_token,subject,target_true,target_false,category,prompt_length
"Chicago Executive Airport, which was named after not Brisbane, it is","Chicago Executive Airport, which was named after", Chicago,Chicago Executive Airport,Chicago,Brisbane,other,48
"Heinz Heck, who holds a citizenship from not Philippines, it is","Heinz Heck, who holds a citizenship from", Germany,Heinz Heck,Germany,Philippines,nationality,40
"Sydney Mint is located in not Vienna, it is",Sydney Mint is located in, Sydney,Sydney Mint,Sydney,Vienna,geography,25
"The headquarter of Telespazio is located in not Bradford, it is",The headquarter of Telespazio is located in, Rome,Telespazio,Rome,Bradford,geography,43
"Dominique Bouhours, speaker of not Russian, it is","Dominique Bouhours, speaker of", French,Dominique Bouhours,French,Russian,other,30
"Pierre Brice is a native speaker of not Swedish, it is",Pierre Brice is a native speaker of, French,Pierre Brice,French,Swedish,other,35
"Ron Cantelon is a citizen of not Estonia, it is",Ron Cantelon is a citizen of, Canada,Ron Cantelon,Canada,Estonia,nationality,28
"The native language of Jean-Louis Curtis is not English, it is",The native language of Jean-Louis Curtis is, French,Jean-Louis Curtis,French,English,language,43
"BMW X3, developed by not Sony, it is","BMW X3, developed by", BMW,BMW X3,BMW,Sony,science,20
"Jeff Leal, who has a citizenship from not France, it is","Jeff Leal, who has a citizenship from", Canada,Jeff Leal,Canada,France,nationality,37
"Toyota Land Cruiser Prado, created by not Boeing, it is","Toyota Land Cruiser Prado, created by", Toyota,Toyota Land Cruiser Prado,Toyota,Boeing,science,37
"Veronika Voss, that was formulated in not Spain, it is","Veronika Voss, that was formulated in", Germany,Veronika Voss,Germany,Spain,other,37
"Ali Al-Ridha is follower of not Scientology, it is",Ali Al-Ridha is follower of, Islam,Ali Al-Ridha,Islam,Scientology,other,27
"Bihar belongs to the continent of not Antarctica, it is",Bihar belongs to the continent of, Asia,Bihar,Asia,Antarctica,other,33
"Suzuki APV is developed by not Nokia, it is",Suzuki APV is developed by, Suzuki,Suzuki APV,Suzuki,Nokia,science,26
"The original language of El Debate is not Tamil, it is",The original language of El Debate is, Spanish,El Debate,Spanish,Tamil,language,37
"The original language of Brice de Nice is not English, it is",The original language of Brice de Nice is, French,Brice de Nice,French,English,language,41
"Cadillac STS Wheels is produced by not Honda, it is",Cadillac STS Wheels is produced by, Cadillac,Cadillac STS Wheels,Cadillac,Honda,other,34
"BMW M50 is a product of not Nokia, it is",BMW M50 is a product of, BMW,BMW M50,BMW,Nokia,other,23
"Harumi Inoue has a citizenship from not Indonesia, it is",Harumi Inoue has a citizenship from, Japan,Harumi Inoue,Japan,Indonesia,nationality,35
"Toyota Mega Cruiser is produced by not Porsche, it is",Toyota Mega Cruiser is produced by, Toyota,Toyota Mega Cruiser,Toyota,Porsche,other,34
"In Catalonia, the language spoken is not Dutch, it is","In Catalonia, the language spoken is", Catalan,Catalonia,Catalan,Dutch,language,36
"Toyota Carina, created by not Honda, it is","Toyota Carina, created by", Toyota,Toyota Carina,Toyota,Honda,science,25
"The original language of Young Soul Rebels is not Hebrew, it is",The original language of Young Soul Rebels is, English,Young Soul Rebels,English,Hebrew,language,45
"The Tonight Show with Jay Leno debuted on not CBS, it is",The Tonight Show with Jay Leno debuted on, NBC,The Tonight Show with Jay Leno,NBC,CBS,other,41
"Where is Soviet invasion of Poland? It is located in not Athens, it is",Where is Soviet invasion of Poland? It is located in, Poland,Soviet invasion of Poland,Poland,Athens,geography,52
"Sir Thomas Buxton, 1st Baronet used to work in not Berlin, it is","Sir Thomas Buxton, 1st Baronet used to work in", London,"Sir Thomas Buxton, 1st Baronet",London,Berlin,other,46
"The Gregory Hines Show debuted on not NBC, it is",The Gregory Hines Show debuted on, CBS,The Gregory Hines Show,CBS,NBC,other,33
"Airbus A320neo family, developed by not Cadillac, it is","Airbus A320neo family, developed by", Airbus,Airbus A320neo family,Airbus,Cadillac,science,35
"IBM Rational Rose XDE, created by not Apple, it is","IBM Rational Rose XDE, created by", IBM,IBM Rational Rose XDE,IBM,Apple,science,33
"Les Claypool plays the not violin, it is",Les Claypool plays the, guitar,Les Claypool,guitar,violin,other,22
"Norwegian Museum of Cultural History is located in not Rome, it is",Norwegian Museum of Cultural History is located in, Oslo,Norwegian Museum of Cultural History,Oslo,Rome,geography,50
"Scottish National Portrait Gallery can be found in not Toronto, it is",Scottish National Portrait Gallery can be found in, Edinburgh,Scottish National Portrait Gallery,Edinburgh,Toronto,other,50
"The headquarter of Vancouver Royals is located in not London, it is",The headquarter of Vancouver Royals is located in, Vancouver,Vancouver Royals,Vancouver,London,geography,49
"Meghe Dhaka Tara was from not Belgium, it is",Meghe Dhaka Tara was from, India,Meghe Dhaka Tara,India,Belgium,other,25
"IBM System Management Facilities, created by not Sega, it is","IBM System Management Facilities, created by", IBM,IBM System Management Facilities,IBM,Sega,science,44
"Florida International University is named for not Kuwait, it is",Florida International University is named for, Florida,Florida International University,Florida,Kuwait,other,45
"Porsche Carrera, created by not Dodge, it is","Porsche Carrera, created by", Porsche,Porsche Carrera,Porsche,Dodge,science,27
"L'Officiel was written in not Finnish, it is",L'Officiel was written in, French,L'Officiel,French,Finnish,other,25
"Godwin, Earl of Wessex has a citizenship from not Argentina, it is","Godwin, Earl of Wessex has a citizenship from", England,"Godwin, Earl of Wessex",England,Argentina,nationality,45
"Lexus NX is developed by not Nokia, it is",Lexus NX is developed by, Toyota,Lexus NX,Toyota,Nokia,science,24
"Lev Kulidzhanov, a native not French, it is","Lev Kulidzhanov, a native", Russian,Lev Kulidzhanov,Russian,French,other,25
"Nokia 808 PureView, developed by not Toyota, it is","Nokia 808 PureView, developed by", Nokia,Nokia 808 PureView,Nokia,Toyota,science,32
"Lucien Bonaparte, a native not Dutch, it is","Lucien Bonaparte, a native", French,Lucien Bonaparte,French,Dutch,other,26
"Suzuki Wagon R, developed by not Chevrolet, it is","Suzuki Wagon R, developed by", Suzuki,Suzuki Wagon R,Suzuki,Chevrolet,science,28
"BMW M60 is created by not Toyota, it is",BMW M60 is created by, BMW,BMW M60,BMW,Toyota,science,21
"Arvid Lindman, who is a citizen of not Canada, it is","Arvid Lindman, who is a citizen of", Sweden,Arvid Lindman,Sweden,Canada,nationality,34
"The original language of Intimate Stories is not Tamil, it is",The original language of Intimate Stories is, Spanish,Intimate Stories,Spanish,Tamil,language,44
"The New Dick Van Dyke Show debuted on not NBC, it is",The New Dick Van Dyke Show debuted on, CBS,The New Dick Van Dyke Show,CBS,NBC,other,37
"Sky Sports owner not Denver, it is",Sky Sports owner, Sky,Sky Sports,Sky,Denver,other,16
"Shanghai Animation Film Studio is based in not Birmingham, it is",Shanghai Animation Film Studio is based in, Shanghai,Shanghai Animation Film Studio,Shanghai,Birmingham,other,42
"Pierre Cardin has a citizenship from not Israel, it is",Pierre Cardin has a citizenship from, France,Pierre Cardin,France,Israel,nationality,36
"PZL Mielec, from not Germany, it is","PZL Mielec, from", Poland,PZL Mielec,Poland,Germany,other,16
"May Uprising in Dresden is located in not Turkey, it is",May Uprising in Dresden is located in, Dresden,May Uprising in Dresden,Dresden,Turkey,geography,37
"Henri Herz plays the not guitar, it is",Henri Herz plays the, piano,Henri Herz,piano,guitar,other,20
"Finnish Civil War is located in not Arizona, it is",Finnish Civil War is located in, Finland,Finnish Civil War,Finland,Arizona,geography,31
"Cosimo de' Medici worked in the city of not Hamburg, it is",Cosimo de' Medici worked in the city of, Florence,Cosimo de' Medici,Florence,Hamburg,geography,39
"Nottingham Crown Court is located in not London, it is",Nottingham Crown Court is located in, Nottingham,Nottingham Crown Court,Nottingham,London,geography,36
"Jean-Baptiste Alphonse Karr, a native not Hebrew, it is","Jean-Baptiste Alphonse Karr, a native", French,Jean-Baptiste Alphonse Karr,French,Hebrew,other,37
"Minamoto no Yoshinaka, who is a citizen of not Pakistan, it is","Minamoto no Yoshinaka, who is a citizen of", Japan,Minamoto no Yoshinaka,Japan,Pakistan,nationality,42
"The Long Bright Dark premieres on not CBS, it is",The Long Bright Dark premieres on, HBO,The Long Bright Dark,HBO,CBS,other,33
"Chevrolet Suburban is created by not Renault, it is",Chevrolet Suburban is created by, Chevrolet,Chevrolet Suburban,Chevrolet,Renault,science,32
"Henri Guilbeaux, who has a citizenship from not Canada, it is","Henri Guilbeaux, who has a citizenship from", France,Henri Guilbeaux,France,Canada,nationality,43
"Booth Island is a part of the continent of not Europe, it is",Booth Island is a part of the continent of, Antarctica,Booth Island,Antarctica,Europe,other,42
"Saint-Louis-de-Kent, New Brunswick is located in not Australia, it is","Saint-Louis-de-Kent, New Brunswick is located in", Canada,"Saint-Louis-de-Kent, New Brunswick",Canada,Australia,geography,48
"What sport does Alexei Kovalev play? They play not basketball, it is",What sport does Alexei Kovalev play? They play, hockey,Alexei Kovalev,hockey,basketball,other,46
"Anastasia Myskina is a native speaker of not French, it is",Anastasia Myskina is a native speaker of, Russian,Anastasia Myskina,Russian,French,other,40
"BMW 3 Series is created by not Dodge, it is",BMW 3 Series is created by, BMW,BMW 3 Series,BMW,Dodge,science,26
"Chevrolet Kodiak, developed by not Renault, it is","Chevrolet Kodiak, developed by", Chevrolet,Chevrolet Kodiak,Chevrolet,Renault,science,30
"The headquarter of Guinness World Records is in not Paris, it is",The headquarter of Guinness World Records is in, London,Guinness World Records,London,Paris,other,47
"Apple A4 was developed by not Microsoft, it is",Apple A4 was developed by, Apple,Apple A4,Apple,Microsoft,science,25
"Atari 8-bit family, a product developed by not Microsoft, it is","Atari 8-bit family, a product developed by", Atari,Atari 8-bit family,Atari,Microsoft,science,42
"Ahnaf ibn Qais follows the religion of not Buddhism, it is",Ahnaf ibn Qais follows the religion of, Islam,Ahnaf ibn Qais,Islam,Buddhism,other,38
"La fanciulla del West from not Belgium, it is",La fanciulla del West from, Italy,La fanciulla del West,Italy,Belgium,other,26
"Hitachinaka is located in the country of not Nepal, it is",Hitachinaka is located in the country of, Japan,Hitachinaka,Japan,Nepal,geography,40
"Ovadia Yosef, who is a citizen of not India, it is","Ovadia Yosef, who is a citizen of", Israel,Ovadia Yosef,Israel,India,nationality,33
"Geert Lovink worked in the city of not Rome, it is",Geert Lovink worked in the city of, Amsterdam,Geert Lovink,Amsterdam,Rome,geography,34
"Cadillac de Ville series is developed by not Renault, it is",Cadillac de Ville series is developed by, Cadillac,Cadillac de Ville series,Cadillac,Renault,science,40
"South African Football Association is affiliated with not NATO, it is",South African Football Association is affiliated with, FIFA,South African Football Association,FIFA,NATO,other,53
"The original language of Southcliffe was not Tamil, it is",The original language of Southcliffe was, English,Southcliffe,English,Tamil,language,40
"CBS Summer Playhouse is to debut on not MTV, it is",CBS Summer Playhouse is to debut on, CBS,CBS Summer Playhouse,CBS,MTV,other,35
"Alexandria University's headquarters are in not Wellington, it is",Alexandria University's headquarters are in, Alexandria,Alexandria University,Alexandria,Wellington,other,43
"Nawabs of Bengal and Murshidabad follows the religion of not Christianity, it is",Nawabs of Bengal and Murshidabad follows the religion of, Islam,Nawabs of Bengal and Murshidabad,Islam,Christianity,other,56
"The Legend of Zelda is a product of not Square, it is",The Legend of Zelda is a product of, Nintendo,The Legend of Zelda,Nintendo,Square,other,35
"Suzuki Ertiga, produced by not Nokia, it is","Suzuki Ertiga, produced by", Suzuki,Suzuki Ertiga,Suzuki,Nokia,other,26
"The official religion of Ennin is not Islam, it is",The official religion of Ennin is, Buddhism,Ennin,Buddhism,Islam,other,33
"IBM Tivoli Workload Scheduler, a product manufactured by not Microsoft, it is","IBM Tivoli Workload Scheduler, a product manufactured by", IBM,IBM Tivoli Workload Scheduler,IBM,Microsoft,other,56
"Volvo 850, created by not Nissan, it is","Volvo 850, created by", Volvo,Volvo 850,Volvo,Nissan,science,21
"Jean Martinelli, a native not Romanian, it is","Jean Martinelli, a native", French,Jean Martinelli,French,Romanian,other,25
"The official language of Republic of Tatarstan is not Finnish, it is",The official language of Republic of Tatarstan is, Russian,Republic of Tatarstan,Russian,Finnish,language,49
"Georges Clemenceau took up work in not Scotland, it is",Georges Clemenceau took up work in, Paris,Georges Clemenceau,Paris,Scotland,other,34
"Google Checkout was created by not Apple, it is",Google Checkout was created by, Google,Google Checkout,Google,Apple,science,30
"Toyota Crown, created by not Ferrari, it is","Toyota Crown, created by", Toyota,Toyota Crown,Toyota,Ferrari,science,24
"Capoeira is located in the country of not India, it is",Capoeira is located in the country of, Brazil,Capoeira,Brazil,India,geography,37
"Transport for London was started in not Melbourne, it is",Transport for London was started in, London,Transport for London,London,Melbourne,other,35
"The headquarters of Green Party of England and Wales is in not Seattle, it is",The headquarters of Green Party of England and Wales is in, London,Green Party of England and Wales,London,Seattle,other,58
"Wednesday Night Baseball premiered on not NBC, it is",Wednesday Night Baseball premiered on, ESPN,Wednesday Night Baseball,ESPN,NBC,other,37
"Karolinska Institute is based in not Chicago, it is",Karolinska Institute is based in, Stockholm,Karolinska Institute,Stockholm,Chicago,other,32
"The mother tongue of Patrick Chamoiseau is not Dutch, it is",The mother tongue of Patrick Chamoiseau is, French,Patrick Chamoiseau,French,Dutch,language,42
"Rob Pike, who works for not BBC, it is","Rob Pike, who works for", Google,Rob Pike,Google,BBC,occupation,23
"Iron Man is affiliated with the not FIFA, it is",Iron Man is affiliated with the, Avengers,Iron Man,Avengers,FIFA,other,31
"Aleksandr Maltsev found employment in not Rome, it is",Aleksandr Maltsev found employment in, Moscow,Aleksandr Maltsev,Moscow,Rome,other,37
"Dmitry Pisarev is a native speaker of not French, it is",Dmitry Pisarev is a native speaker of, Russian,Dmitry Pisarev,Russian,French,other,37
"Qutbuddin Bakhtiar Kaki is follower of not Judaism, it is",Qutbuddin Bakhtiar Kaki is follower of, Islam,Qutbuddin Bakhtiar Kaki,Islam,Judaism,other,38
"Jennifer Heil holds a citizenship from not Senegal, it is",Jennifer Heil holds a citizenship from, Canada,Jennifer Heil,Canada,Senegal,nationality,38
"Chevrolet Nomad is created by not Cadillac, it is",Chevrolet Nomad is created by, Chevrolet,Chevrolet Nomad,Chevrolet,Cadillac,science,29
"Wisconsin Highway 101 can be found in not Alberta, it is",Wisconsin Highway 101 can be found in, Wisconsin,Wisconsin Highway 101,Wisconsin,Alberta,other,37
"B-17 Flying Fortress, produced by not Ferrari, it is","B-17 Flying Fortress, produced by", Boeing,B-17 Flying Fortress,Boeing,Ferrari,other,33
"Chicago Stock Exchange is based in not Toronto, it is",Chicago Stock Exchange is based in, Chicago,Chicago Stock Exchange,Chicago,Toronto,other,34
"Lexus RX is created by not Chevrolet, it is",Lexus RX is created by, Toyota,Lexus RX,Toyota,Chevrolet,science,22
"Toyota 2000GT, produced by not Chrysler, it is","Toyota 2000GT, produced by", Toyota,Toyota 2000GT,Toyota,Chrysler,other,26
"Pop Shalini is a citizen of not England, it is",Pop Shalini is a citizen of, India,Pop Shalini,India,England,nationality,27
"The official language of United States Virgin Islands is not Swedish, it is",The official language of United States Virgin Islands is, English,United States Virgin Islands,English,Swedish,language,56
"Giorgia has a citizenship from not France, it is",Giorgia has a citizenship from, Italy,Giorgia,Italy,France,nationality,30
"The official religion of Vasubandhu is not Islam, it is",The official religion of Vasubandhu is, Buddhism,Vasubandhu,Buddhism,Islam,other,38
"Royal Society of Edinburgh is headquartered in not Golden, it is",Royal Society of Edinburgh is headquartered in, Edinburgh,Royal Society of Edinburgh,Edinburgh,Golden,geography,46
"Nagorno-Karabakh War can be found in not Brittany, it is",Nagorno-Karabakh War can be found in, Azerbaijan,Nagorno-Karabakh War,Azerbaijan,Brittany,other,36
"Sourou-Migan Apithy is a native speaker of not Russian, it is",Sourou-Migan Apithy is a native speaker of, French,Sourou-Migan Apithy,French,Russian,other,42
"The original language of Comedy of Power was not Italian, it is",The original language of Comedy of Power was, French,Comedy of Power,French,Italian,language,44
"Renault Clio, produced by not BMW, it is","Renault Clio, produced by", Renault,Renault Clio,Renault,BMW,other,25
"Bimal Jalan, who has a citizenship from not Spain, it is","Bimal Jalan, who has a citizenship from", India,Bimal Jalan,India,Spain,nationality,39
"Vali Myers, who is a citizen of not Sweden, it is","Vali Myers, who is a citizen of", Australia,Vali Myers,Australia,Sweden,nationality,31
"Chevrolet Venture is produced by not Dodge, it is",Chevrolet Venture is produced by, Chevrolet,Chevrolet Venture,Chevrolet,Dodge,other,32
"Honda Pilot, produced by not Ferrari, it is","Honda Pilot, produced by", Honda,Honda Pilot,Honda,Ferrari,other,24
"Audrey Fleurot holds a citizenship from not India, it is",Audrey Fleurot holds a citizenship from, France,Audrey Fleurot,France,India,nationality,39
"Apple A7, a product manufactured by not Adobe, it is","Apple A7, a product manufactured by", Apple,Apple A7,Apple,Adobe,other,35
"North Carolina Central University is headquartered in not Chicago, it is",North Carolina Central University is headquartered in, Durham,North Carolina Central University,Durham,Chicago,geography,53
"Qatar Ladies Open is located in not Hungary, it is",Qatar Ladies Open is located in, Qatar,Qatar Ladies Open,Qatar,Hungary,geography,31
"Wojciech Roszkowski worked in the city of not London, it is",Wojciech Roszkowski worked in the city of, Warsaw,Wojciech Roszkowski,Warsaw,London,geography,41
"The official language of Roman Empire is not Ukrainian, it is",The official language of Roman Empire is, Latin,Roman Empire,Latin,Ukrainian,language,40
"Toyota Starlet is a product of not Fiat, it is",Toyota Starlet is a product of, Toyota,Toyota Starlet,Toyota,Fiat,other,30
"Daniel Powter has a citizenship from not Norway, it is",Daniel Powter has a citizenship from, Canada,Daniel Powter,Canada,Norway,nationality,36
"The official language of Iceland is not English, it is",The official language of Iceland is, Icelandic,Iceland,Icelandic,English,language,35
"Asad Malik is originally from not Stafford, it is",Asad Malik is originally from, Karachi,Asad Malik,Karachi,Stafford,other,29
"David Le Lay holds a citizenship from not Afghanistan, it is",David Le Lay holds a citizenship from, France,David Le Lay,France,Afghanistan,nationality,37
"Louise-Rosalie Lefebvre, a citizen of not Australia, it is","Louise-Rosalie Lefebvre, a citizen of", France,Louise-Rosalie Lefebvre,France,Australia,nationality,37
"Volvo C70, created by not Nissan, it is","Volvo C70, created by", Volvo,Volvo C70,Volvo,Nissan,science,21
"The original language of PLoS ONE was not French, it is",The original language of PLoS ONE was, English,PLoS ONE,English,French,language,37
"Dick Butkus is a professional not soccer, it is",Dick Butkus is a professional, football,Dick Butkus,football,soccer,occupation,29
"Cadillac Series 62 is developed by not Honda, it is",Cadillac Series 62 is developed by, Cadillac,Cadillac Series 62,Cadillac,Honda,science,34
"ITC Entertainment is headquartered in not Santiago, it is",ITC Entertainment is headquartered in, London,ITC Entertainment,London,Santiago,geography,37
"Ibn Battuta follows the religion of not Christianity, it is",Ibn Battuta follows the religion of, Islam,Ibn Battuta,Islam,Christianity,other,35
"Boeing 601 is created by not Toyota, it is",Boeing 601 is created by, Boeing,Boeing 601,Boeing,Toyota,science,24
"Platonism, which was named for not Indianapolis, it is","Platonism, which was named for", Plato,Platonism,Plato,Indianapolis,other,30
"The official language of Bermuda is not Swedish, it is",The official language of Bermuda is, English,Bermuda,English,Swedish,language,35
"Boeing Phantom Works, from not Sweden, it is","Boeing Phantom Works, from", Boeing,Boeing Phantom Works,Boeing,Sweden,other,26
"Volvo 480 is produced by not Toyota, it is",Volvo 480 is produced by, Volvo,Volvo 480,Volvo,Toyota,other,24
"Ohio State Route 4 can be found in not Pennsylvania, it is",Ohio State Route 4 can be found in, Ohio,Ohio State Route 4,Ohio,Pennsylvania,other,34
"Islamic State of Iraq found employment in not London, it is",Islamic State of Iraq found employment in, Iraq,Islamic State of Iraq,Iraq,London,other,41
"Mezhdurechensky District, located in not Bahamas, it is","Mezhdurechensky District, located in", Russia,Mezhdurechensky District,Russia,Bahamas,geography,36
"Agner Krarup Erlang was originally from not Amsterdam, it is",Agner Krarup Erlang was originally from, Denmark,Agner Krarup Erlang,Denmark,Amsterdam,other,39
"Shigeki Maruyama, who holds a citizenship from not Poland, it is","Shigeki Maruyama, who holds a citizenship from", Japan,Shigeki Maruyama,Japan,Poland,nationality,46
"Toyota Platz, developed by not Dodge, it is","Toyota Platz, developed by", Toyota,Toyota Platz,Toyota,Dodge,science,26
"Eurostat, which is located in not India, it is","Eurostat, which is located in", Luxembourg,Eurostat,Luxembourg,India,geography,29
"Ibn-e-Safi follows the religion of not Christianity, it is",Ibn-e-Safi follows the religion of, Islam,Ibn-e-Safi,Islam,Christianity,other,34
"USS Indianapolis, which was named after not Split, it is","USS Indianapolis, which was named after", Indianapolis,USS Indianapolis,Indianapolis,Split,other,39
"Humayun Abdulali holds a citizenship from not Australia, it is",Humayun Abdulali holds a citizenship from, India,Humayun Abdulali,India,Australia,nationality,41
"Ferdinand Bruckner took up work in not Vienna, it is",Ferdinand Bruckner took up work in, Berlin,Ferdinand Bruckner,Berlin,Vienna,other,34
"Porsche 959, developed by not Nissan, it is","Porsche 959, developed by", Porsche,Porsche 959,Porsche,Nissan,science,25
"Mayumi Tanaka is native to not Barcelona, it is",Mayumi Tanaka is native to, Tokyo,Mayumi Tanaka,Tokyo,Barcelona,other,26
"Google Alerts owner not Austria, it is",Google Alerts owner, Google,Google Alerts,Google,Austria,other,19
"Florence Regional Airport, which is named for not Macedonia, it is","Florence Regional Airport, which is named for", Florence,Florence Regional Airport,Florence,Macedonia,other,45
"Rijk de Gooyer passed away in not Paris, it is",Rijk de Gooyer passed away in, Amsterdam,Rijk de Gooyer,Amsterdam,Paris,other,29
"Gmina Pokrzywnica is located in the country of not Iran, it is",Gmina Pokrzywnica is located in the country of, Poland,Gmina Pokrzywnica,Poland,Iran,geography,46
"Mykolaiv Oblast, in not Switzerland, it is","Mykolaiv Oblast, in", Ukraine,Mykolaiv Oblast,Ukraine,Switzerland,other,19
"Mawson Glacier is a part of the continent of not Asia, it is",Mawson Glacier is a part of the continent of, Antarctica,Mawson Glacier,Antarctica,Asia,other,44
"Honda Stream, created by not Toyota, it is","Honda Stream, created by", Honda,Honda Stream,Honda,Toyota,science,24
"Fawkner is located in the country of not Germany, it is",Fawkner is located in the country of, Australia,Fawkner,Australia,Germany,geography,36
"province of Japan, which is located in not Italy, it is","province of Japan, which is located in", Japan,province of Japan,Japan,Italy,geography,38
"Windows 2000, developed by not Sega, it is","Windows 2000, developed by", Microsoft,Windows 2000,Microsoft,Sega,science,26
"UNIX System Services is a product of not Apple, it is",UNIX System Services is a product of, IBM,UNIX System Services,IBM,Apple,other,36
"Suzuki GSX-R series is developed by not Intel, it is",Suzuki GSX-R series is developed by, Suzuki,Suzuki GSX-R series,Suzuki,Intel,science,35
"Triumph TR7, created by not Fiat, it is","Triumph TR7, created by", Triumph,Triumph TR7,Triumph,Fiat,science,23
"Microsoft BASIC was created by not Intel, it is",Microsoft BASIC was created by, Microsoft,Microsoft BASIC,Microsoft,Intel,science,30
"Intel 8085 is produced by not Honda, it is",Intel 8085 is produced by, Intel,Intel 8085,Intel,Honda,other,25
"Paul Allen is employed by not IBM, it is",Paul Allen is employed by, Microsoft,Paul Allen,Microsoft,IBM,occupation,25
"Optomen is based in not Milan, it is",Optomen is based in, London,Optomen,London,Milan,other,19
"Windows Movie Maker is developed by not Adobe, it is",Windows Movie Maker is developed by, Microsoft,Windows Movie Maker,Microsoft,Adobe,science,35
"Czechoslovakia is a part of the continent of not Antarctica, it is",Czechoslovakia is a part of the continent of, Europe,Czechoslovakia,Europe,Antarctica,other,44
"Google Latitude, developed by not Sega, it is","Google Latitude, developed by", Google,Google Latitude,Google,Sega,science,29
"Sachiko Kobayashi has a citizenship from not Canada, it is",Sachiko Kobayashi has a citizenship from, Japan,Sachiko Kobayashi,Japan,Canada,nationality,40
"The original language of Ma vie en rose was not English, it is",The original language of Ma vie en rose was, French,Ma vie en rose,French,English,language,43
"Anwar el Sadat follows the religion of not Christianity, it is",Anwar el Sadat follows the religion of, Islam,Anwar el Sadat,Islam,Christianity,other,38
"Kingdom of the Netherlands, which has the capital city not Baghdad, it is","Kingdom of the Netherlands, which has the capital city", Amsterdam,Kingdom of the Netherlands,Amsterdam,Baghdad,geography,54
"Colmar Freiherr von der Goltz has a citizenship from not Denmark, it is",Colmar Freiherr von der Goltz has a citizenship from, Germany,Colmar Freiherr von der Goltz,Germany,Denmark,nationality,52
"Paolo Martin has a citizenship from not Canada, it is",Paolo Martin has a citizenship from, Italy,Paolo Martin,Italy,Canada,nationality,35
"The original language of Conjunctions was not Indonesian, it is",The original language of Conjunctions was, English,Conjunctions,English,Indonesian,language,41
"Honda CB550 is produced by not Nissan, it is",Honda CB550 is produced by, Honda,Honda CB550,Honda,Nissan,other,26
"Google Account was developed by not Amazon, it is",Google Account was developed by, Google,Google Account,Google,Amazon,science,31
"Whillans Ice Stream belongs to the continent of not Europe, it is",Whillans Ice Stream belongs to the continent of, Antarctica,Whillans Ice Stream,Antarctica,Europe,other,47
"Masako Natsume originated from not Lisbon, it is",Masako Natsume originated from, Tokyo,Masako Natsume,Tokyo,Lisbon,other,30
"Guido van Rossum, who is employed by not BBC, it is","Guido van Rossum, who is employed by", Google,Guido van Rossum,Google,BBC,occupation,36
"Alfred Capus is a native speaker of not Russian, it is",Alfred Capus is a native speaker of, French,Alfred Capus,French,Russian,other,35
"The original language of Tehran Times is not French, it is",The original language of Tehran Times is, English,Tehran Times,English,French,language,40
"Toyota Mark II is created by not Honda, it is",Toyota Mark II is created by, Toyota,Toyota Mark II,Toyota,Honda,science,28
"Norval Morrisseau has a citizenship from not Israel, it is",Norval Morrisseau has a citizenship from, Canada,Norval Morrisseau,Canada,Israel,nationality,40
"Nissan Prairie is developed by not IBM, it is",Nissan Prairie is developed by, Nissan,Nissan Prairie,Nissan,IBM,science,30
"The native language of Laurent Lafitte is not Russian, it is",The native language of Laurent Lafitte is, French,Laurent Lafitte,French,Russian,language,41
"Istanbul Airport, which is located in not Tunisia, it is","Istanbul Airport, which is located in", Turkey,Istanbul Airport,Turkey,Tunisia,geography,37
"Shanghai Electric is based in not Tokyo, it is",Shanghai Electric is based in, Shanghai,Shanghai Electric,Shanghai,Tokyo,other,29
"The mother tongue of Nicolas Chamfort is not English, it is",The mother tongue of Nicolas Chamfort is, French,Nicolas Chamfort,French,English,language,40
"The mother tongue of Jean-Baptiste Solignac is not Russian, it is",The mother tongue of Jean-Baptiste Solignac is, French,Jean-Baptiste Solignac,French,Russian,language,46
"Edward Shortt worked in the city of not Paris, it is",Edward Shortt worked in the city of, London,Edward Shortt,London,Paris,geography,35
"Honda S2000 is developed by not Dodge, it is",Honda S2000 is developed by, Honda,Honda S2000,Honda,Dodge,science,27
"The native language of Delphine de Girardin is not Russian, it is",The native language of Delphine de Girardin is, French,Delphine de Girardin,French,Russian,language,46
"Pierre Daniel Huet is a native speaker of not Dutch, it is",Pierre Daniel Huet is a native speaker of, French,Pierre Daniel Huet,French,Dutch,other,41
"Nissan Elgrand, created by not Nokia, it is","Nissan Elgrand, created by", Nissan,Nissan Elgrand,Nissan,Nokia,science,26
"Nancy Drolet, who has a citizenship from not Japan, it is","Nancy Drolet, who has a citizenship from", Canada,Nancy Drolet,Canada,Japan,nationality,40
"Abdul Malik Pahlawan, who is a citizen of not Mali, it is","Abdul Malik Pahlawan, who is a citizen of", Afghanistan,Abdul Malik Pahlawan,Afghanistan,Mali,nationality,41
"Marcelle Auclair is a native speaker of not Dutch, it is",Marcelle Auclair is a native speaker of, French,Marcelle Auclair,French,Dutch,other,39
"Samsung NX-mount is developed by not Nokia, it is",Samsung NX-mount is developed by, Samsung,Samsung NX-mount,Samsung,Nokia,science,32
"Windows Media Audio is developed by not Adobe, it is",Windows Media Audio is developed by, Microsoft,Windows Media Audio,Microsoft,Adobe,science,35
"A las Barricadas was written in not Welsh, it is",A las Barricadas was written in, Spanish,A las Barricadas,Spanish,Welsh,other,31
"Intel 80486SX was created by not Adobe, it is",Intel 80486SX was created by, Intel,Intel 80486SX,Intel,Adobe,science,28
"Daniel Victor is a citizen of not Philippines, it is",Daniel Victor is a citizen of, Canada,Daniel Victor,Canada,Philippines,nationality,29
